login,password,role,fio,photo
loginDEsar2018,2M2IQH,Директор,Яковлев Ефим Ильяович,
loginDEuxd2018,*PI3KN,Конструктор,Васильева Маргарита Валерьяновна,
loginDEepk2018,VZ&Ak7,Менеджер,Петухов Гордей Серапионович,
loginDEjhb2018,PNvt8N,Мастер,Нестеров Виктор Юлианович,
loginDExzi2018,{+1T1M,Заказчик,Белоусов Антонин Яковович,
loginDEvva2018,G{q*LD,Директор,Ермакова Александра Куприяновна,
loginDEudz2018,Xcjvmi,Менеджер,Баранова Галина Еремеевна,
loginDEyyj2018,z+U0XU,Конструктор,Лебедев Валерьян Кимович,
loginDEvdj2018,5Eq6d|,Заказчик,Никонов Богдан Юлианович,
loginDErwk2018,|nZOKu,Мастер,Карпов Дмитрий Владимирович,C:\Users\user\Desktop\data\УП04\Импорт\Ресурсы\users\Фото пользователей\loginDErwk2018.png
loginDElkc2018,BOvRGk,Директор,Мартынов Онисим Ярославович,
loginDEmge2018,C947}j,Заказчик,Кузнецов Созон Викторович,
loginDEtol2018,&ksGM5,Директор,Николаева Ирина Федотовна,
loginDEjwb2018,IQ+a01,Заказчик,Виноградов Ростислав Еремеевич,
loginDEzhf2018,xws6L9,Менеджер,Лебедева Евдокия Ивановна,
loginDEobp2018,XNGjJy,Директор,Иванов Игнатий Авксентьевич,
loginDEloi2018,azEz+L,Мастер,Савин Пётр Артёмович,
loginDEuau2018,FNnhJ1,Менеджер,Голубев Семён Олегович,
loginDEdwi2018,n*aog&,Конструктор,Горбачёв Ириней Викторович,
loginDEecu2018,s6FMJ|,Менеджер,Игнатьева Глафира Эдуардовна,
loginDEdfk2018,aqgkFV,Директор,Красильников Геннадий Романович,
loginDEkxq2018,8igB2p,Конструктор,Якушев Германн Мэлорович,
loginDEhqm2018,BPvGYj,Конструктор,Андреев Руслан Федосеевич,
loginDEyzm2018,*Nx7JS,Заказчик,Козлов Эдуард Протасьевич,
loginDEzbd2018,hWTIZR,Конструктор,Галкин Ярослав Фролович,
loginDEoni2018,phdlXA,Заказчик,Назаров Иван Мартынович,C:\Users\user\Desktop\data\УП04\Импорт\Ресурсы\users\Фото пользователей\loginDEoni2018.jpg
loginDEewk2018,4baKX7,Заказчик,Воронцов Владимир Игнатьевич,
loginDEdfh2018,t0CrUG,Менеджер,Артемьев Даниил Дамирович,
loginDEufs2018,7CLi&1,Конструктор,Абрамова Милица Аристарховна,
loginDEzsy2018,a6}lPi,Директор,Владимиров Протасий Витальевич,
loginDElzj2018,Ph0lH+,Директор,Агафонов Ириней Фёдорович,
loginDEwtu2018,kVUA|*,Мастер,Суворов Владислав Иринеевич,
loginDEpyt2018,VAwNEk,Менеджер,Яковлев Игнатий Даниилович,
loginDEquw2018,65j6kZ,Конструктор,Павлов Константин Гордеевич,
loginDEcxk2018,sM*fqO,Директор,Щукина Марфа Глебовна,
loginDEnxq2018,|yxsob,Менеджер,Мишин Михаил Глебович,
loginDEpmm2018,wRERed,Мастер,Исакова София Юрьевна,
loginDEitt2018,L+OKpQ,Менеджер,Сысоева Виктория Максимовна,C:\Users\user\Desktop\data\УП04\Импорт\Ресурсы\users\Фото пользователей\loginDEitt2018.png
loginDEttt2018,1YOnW3,Менеджер,Большаков Владимир Филатович,
loginDExrn2018,eaI8ng,Мастер,Абрамова Оксана Ростиславовна,
loginDEelh2018,NNmfSo,Заказчик,Зиновьев Иван Ильяович,
loginDEwxd2018,Smjq0v,Конструктор,Евдокимов Алексей Антонович,
loginDEiho2018,UIlg{8,Конструктор,Романов Германн Серапионович,
loginDEsyo2018,F743ca,Заказчик,Логинов Егор Лаврентьевич,
loginDEmwq2018,YZ{snT,Конструктор,Кондратьев Бронислав Тихонович,
loginDEykk2018,EttWT{,Конструктор,Александрова Нинель Мстиславовна,C:\Users\user\Desktop\data\УП04\Импорт\Ресурсы\users\Фото пользователей\loginDEykk2018.gif
loginDEell2018,7wQfBj,Менеджер,Терентьев Игорь Александрович,
loginDEdys2018,B}2V7t,Мастер,Пахомов Гордей Борисович,
loginDEqoh2018,+xRJ|2,Конструктор,Большаков Яков Протасьевич,
loginDEpdv2018,r1HuS2,Конструктор,Крылов Авдей Анатольевич,
loginDEzqn2018,Lgd57H,Заказчик,Петрова Иванна Андреевна,
loginDEvzo2018,VO7mOE,Директор,Воронцов Никита Лаврентьевич,
